r_fighter,b_fighter
Tito Ortiz,Lyoto Machida
Antonio Mendes,Thiago Silva
Kazuhiro Nakamura,Rameau Thierry Sokoudjou
Terry Etim,Rich Clementi
War Machine,Yoshiyuki Yoshida
Jason Tan,Dong Hyun Kim
Christian Wellisch,Shane Carwin
Ivan Salaverry,Rousimar Palhares
Jason Day,Michael Bisping
Marcus Davis,Mike Swick
Nate Marquardt,Thales Leites
Brandon Vera,Fabricio Werdum
Matt Hughes,Thiago Alves
Thiago Tavares,Matt Wiman
Roan Carneiro,Kevin Burns
Jason Lambert,Luiz Cane
Jess Liaudin,Paul Taylor
Eddie Sanchez,Antoni Hardonk
Jorge Rivera,Martin Kampmann
Evan Tanner,Kendall Grove
CB Dollaway,Amir Sadollah
Luigi Fioravanti,Diego Sanchez
Jeremy Stephens,Spencer Fisher
Joshua Burkman,Dustin Hazelett
Marvin Eastman,Drew McFedries
Matt Arroyo,Matt Brown
Jeremy Horn,Dean Lister
Rob Yundt,Rob Kimmons
Dante Rivera,Matthew Riddle
Quinton Jackson,Forrest Griffin
Ricardo Almeida,Patrick Cote
Chris Lytle,Josh Koscheck
Gleison Tibau,Joe Stevenson
Justin McCully,Gabriel Gonzaga
Jorge Gurgel,Cole Miller
Dennis Siver,Melvin Guillard
Corey Hill,Justin Buchholz
Marcus Aurelio,Tyson Griffin
Reese Andy,Brandon Vera
Hermes Franca,Frankie Edgar
Jake O'Brien,Cain Velasquez
Anthony Johnson,Kevin Burns
James Irvin,Anderson Silva
Cale Yarbrough,Tim Credeur
Brodie Farber,Rory Markham
Johnny Rees,Nate Loughran
James Giboo,Brad Blackburn
Dale Hartt,Shannon Gugerty
Jesse Taylor,CB Dollaway
Jon Fitch,Georges St-Pierre
Heath Herring,Brock Lesnar
Manvel Gamburyan,Rob Emerson
Roger Huerta,Kenny Florian
Luke Cummo,Tamdan McCrory
Dan Evensen,Cheick Kongo
Andre Gusmao,Jon Jones
Steve Bruno,Chris Wilson
Ryan Thomas,Ben Saunders
Jason MacDonald,Demian Maia
Rousimar Palhares,Dan Henderson
Chuck Liddell,Rashad Evans
Matt Hamill,Rich Franklin
Martin Kampmann,Nate Marquardt
Matt Brown,Dong Hyun Kim
Thiago Tavares,Kurt Pellegrino
Michael Patt,Tim Boetsch
Jason Lambert,Jason MacDonald
Roan Carneiro,Ryo Chonan
Josh Neer,Nate Diaz
Mac Danzig,Clay Guida
Ed Herman,Alan Belcher
Joe Vedepo,Alessio Sakara
Houston Alexander,Eric Schafer
Kyle Bradley,Joe Lauzon
Brad Morris,Jason Brilz
Drew McFedries,Mike Massenzio
Rob Kimmons,Dan Miller
Ryan Jensen,Wilson Gouveia
Paul Taylor,Chris Lytle
Chris Leben,Michael Bisping
Brandon Vera,Keith Jardine
Rameau Thierry Sokoudjou,Luiz Cane
Paul Kelly,Marcus Davis
David Baron,Jim Miller
Neil Wain,Shane Carwin
Jess Liaudin,David Bielkheden
Sam Stout,Terry Etim
Samy Schiavo,Per Eklund
Akihiro Gono,Dan Hardy
Rich Clementi,Gray Maynard
Patrick Cote,Anderson Silva
Josh Koscheck,Thiago Alves
Fabricio Werdum,Junior Dos Santos
Drew McFedries,Thales Leites
Tyson Griffin,Sean Sherk
Shannon Gugerty,Spencer Fisher
Matt Horwich,Dan Miller
Marcus Aurelio,Hermes Franca
Joshua Burkman,Pete Sell
Randy Couture,Brock Lesnar
Joe Stevenson,Kenny Florian
Tamdan McCrory,Dustin Hazelett
Josh Hendricks,Gabriel Gonzaga
Nate Quarry,Demian Maia
Jorge Gurgel,Aaron Riley
Rafael Dos Anjos,Jeremy Stephens
Alvin Robinson,Mark Bocek
Ryan Thomas,Matt Brown
Yoshiyuki Yoshida,Josh Koscheck
Jonathan Goulet,Mike Swick
Razak Al-Hassan,Steve Cantwell
Nate Loughran,Tim Credeur
Corey Hill,Dale Hartt
Brodie Farber,Luigi Fioravanti
Johnny Rees,Steve Bruno
Brandon Wolff,Ben Saunders
Eddie Sanchez,Justin McCully
Matt Wiman,Jim Miller
Phillipe Nover,Efrain Escudero
Vinny Magalhaes,Ryan Bader
Kevin Burns,Anthony Johnson
Jason MacDonald,Wilson Gouveia
David Kaplan,Junie Browning
Shane Primm,Krzysztof Soszynski
Kyle Kingsbury,Tom Lawlor
George Roop,Shane Nelson
John Polakowski,Rolando Delgado
Jules Bruchez,Eliot Marshall
Antonio Rodrigo Nogueira,Frank Mir
Mike Massenzio,CB Dollaway
Wanderlei Silva,Quinton Jackson
Mostapha Al-Turk,Cheick Kongo
Forrest Griffin,Rashad Evans
Mike Wessel,Antoni Hardonk
Reese Andy,Matt Hamill
Ryo Chonan,Brad Blackburn
Dan Evensen,Pat Barry
Dean Lister,Yushin Okami
Nate Mohr,Dennis Siver
Ivan Serati,Tomasz Drwal
Antonio Mendes,Eric Schafer
Alexandre Barros,Martin Kampmann
Tom Egan,John Hathaway
Chris Lytle,Marcus Davis
Denis Kang,Alan Belcher
Jeremy Horn,Rousimar Palhares
Mark Coleman,Mauricio Rua
Rich Franklin,Dan Henderson
Thiago Silva,Lyoto Machida
Stephan Bonnar,Jon Jones
BJ Penn,Georges St-Pierre
Nate Diaz,Clay Guida
Akihiro Gono,Jon Fitch
Manvel Gamburyan,Thiago Tavares
Chris Wilson,John Howard
Christian Wellisch,Jake O'Brien
Matt Arroyo,Dan Cramer
Jeremy Stephens,Joe Lauzon
Denis Stojnic,Cain Velasquez
Mac Danzig,Josh Neer
Luigi Fioravanti,Anthony Johnson
Rob Emerson,Kurt Pellegrino
Jake Rosholt,Dan Miller
Matt Grice,Matt Veach
Rich Clementi,Gleison Tibau
Derek Downey,Nick Catone
Steve Bruno,Matthew Riddle
Joe Stevenson,Diego Sanchez
Rory Markham,Dan Hardy
Wilson Gouveia,Nate Marquardt
Chael Sonnen,Demian Maia
Troy Mandaloniz,Paul Kelly
Brian Cobb,Terry Etim
Stefan Struve,Junior Dos Santos
Per Eklund,Evan Dunham
Neil Grove,Mike Ciesnolevicz
Josh Koscheck,Paulo Thiago
Mark Munoz,Matt Hamill
Keith Jardine,Quinton Jackson
Gabriel Gonzaga,Shane Carwin
Jim Miller,Gray Maynard
Pete Sell,Matt Brown
Jason Day,Kendall Grove
Aaron Riley,Shane Nelson
Tim Boetsch,Jason Brilz
Michael Patt,Brandon Vera
Ryan Madigan,Tamdan McCrory
Carlos Condit,Martin Kampmann
Carmelo Marrero,Ryan Bader
Rafael Dos Anjos,Tyson Griffin
Junie Browning,Cole Miller
Jeremy Stephens,Gleison Tibau
Jesse Sanders,Brock Larson
Nick Catone,Tim Credeur
Nissen Osterneck,Jorge Rivera
Joe Vedepo,Rob Kimmons
Tim McKenzie,Aaron Simpson
Matt Horwich,Ricardo Almeida
Brian Stann,Krzysztof Soszynski
Thales Leites,Anderson Silva
Matt Wiman,Sam Stout
Chuck Liddell,Mauricio Rua
Antoni Hardonk,Cheick Kongo
Ryo Chonan,TJ Grant
Xavier Foupa-Pokam,Denis Kang
Jason MacDonald,Nate Quarry
David Loiseau,Ed Herman
David Bielkheden,Mark Bocek
Vinny Magalhaes,Eliot Marshall
Steve Cantwell,Luiz Cane
Dan Miller,Chael Sonnen
Rashad Evans,Lyoto Machida
Matt Serra,Matt Hughes
Xavier Foupa-Pokam,Drew McFedries
Sean Sherk,Frankie Edgar
Andre Gusmao,Krzysztof Soszynski
Pat Barry,Tim Hague
Phillipe Nover,Kyle Bradley
David Kaplan,George Roop
Brandon Wolff,Yoshiyuki Yoshida
Mike Pyle,Brock Larson
Cheick Kongo,Cain Velasquez
Mostapha Al-Turk,Mirko Filipovic
Ben Saunders,Mike Swick
Caol Uno,Spencer Fisher
Marcus Davis,Dan Hardy
Wanderlei Silva,Rich Franklin
Dale Hartt,Dennis Siver
Peter Sobotta,Paul Taylor
Rolando Delgado,Paul Kelly
Denis Stojnic,Stefan Struve
Rick Story,John Hathaway
Justin Buchholz,Terry Etim
Clay Guida,Diego Sanchez
DaMarques Johnson,James Wilks
Kevin Burns,Chris Lytle
Andre Winner,Ross Pearson
Nate Diaz,Joe Stevenson
Edgar Garcia,Brad Blackburn
Mike Ciesnolevicz,Tomasz Drwal
Frank Lester,Nick Osipczak
Cameron Dollar,Jason Dent
Gleison Tibau,Melvin Guillard
Michael Bisping,Dan Henderson
Paulo Thiago,Jon Fitch
Frank Mir,Brock Lesnar
Thiago Alves,Georges St-Pierre
Alan Belcher,Yoshihiro Akiyama
Matt Grice,Shannon Gugerty
Mac Danzig,Jim Miller
Jake O'Brien,Jon Jones
TJ Grant,Dong Hyun Kim
CB Dollaway,Tom Lawlor
Stephan Bonnar,Mark Coleman
Kenny Florian,BJ Penn
Forrest Griffin,Anderson Silva
Shane Nelson,Aaron Riley
Amir Sadollah,Johny Hendricks
Kendall Grove,Ricardo Almeida
Tamdan McCrory,John Howard
Thales Leites,Alessio Sakara
Dan Cramer,Matthew Riddle
George Roop,George Sotiropoulos
Danillo Villefort,Jesse Lennox
Josh Neer,Kurt Pellegrino
Demian Maia,Nate Marquardt
Randy Couture,Antonio Rodrigo Nogueira
Keith Jardine,Thiago Silva
Chris Leben,Jake Rosholt
Krzysztof Soszynski,Brandon Vera
Chris Tuchscherer,Gabriel Gonzaga
Marcus Aurelio,Evan Dunham
Nick Catone,Mark Munoz
Ed Herman,Aaron Simpson
Justin McCully,Mike Russow
Tim Hague,Todd Duffee
Melvin Guillard,Nate Diaz
Roger Huerta,Gray Maynard
Tim Credeur,Nate Quarry
Steve Cantwell,Brian Stann
Jake Ellenberger,Carlos Condit
Jay Silva,CB Dollaway
Justin Buchholz,Jeremy Stephens
Brock Larson,Mike Pierce
Steve Steinbeiss,Ryan Jensen
Chris Wilson,Mike Pyle
Hermes Franca,Tyson Griffin
Rich Franklin,Vitor Belfort
Mirko Filipovic,Junior Dos Santos
Martin Kampmann,Paul Daley
Frank Trigg,Josh Koscheck
Cole Miller,Efrain Escudero
Brian Foster,Rick Story
Steve Lopez,Jim Miller
Rafaello Oliveira,Nik Lentz
Jason Brilz,Eliot Marshall
Igor Pokrajac,Vladimir Matyushenko
Rob Emerson,Rafael Dos Anjos
Drew McFedries,Tomasz Drwal
Spencer Fisher,Joe Stevenson
Mauricio Rua,Lyoto Machida
Ben Rothwell,Cain Velasquez
Josh Neer,Gleison Tibau
Yoshiyuki Yoshida,Anthony Johnson
Razak Al-Hassan,Kyle Kingsbury
Antoni Hardonk,Pat Barry
Yushin Okami,Chael Sonnen
Rob Kimmons,Jorge Rivera
Chase Gormley,Stefan Struve
Eric Schafer,Ryan Bader
Brandon Vera,Randy Couture
Mike Swick,Dan Hardy
Denis Kang,Michael Bisping
James Wilks,Matt Brown
Aaron Riley,Ross Pearson
Paul Taylor,John Hathaway
Matthew Riddle,Nick Osipczak
Paul Kelly,Dennis Siver
Jared Hamman,Alexander Gustafsson
Rolando Delgado,Andre Winner
Shannon Gugerty,Terry Etim
Luiz Cane,Rogerio Nogueira
Anthony Johnson,Josh Koscheck
Jacob Volkmann,Paulo Thiago
Phil Baroni,Amir Sadollah
Tito Ortiz,Forrest Griffin
Jake Rosholt,Kendall Grove
Brock Larson,Brian Foster
Jason Dent,George Sotiropoulos
Marcus Davis,Ben Saunders
Fabricio Camoes,Caol Uno
Brendan Schaub,Roy Nelson
Jon Jones,Matt Hamill
Houston Alexander,Kevin Ferguson
Matt Veach,Frankie Edgar
Joe Brammer,Mark Bocek
Darrill Schoonover,James McSweeney
Justin Wren,Jon Madsen
Rodney Wallace,Brian Stann
Dennis Hallman,John Howard
Marcus Jones,Matt Mitrione
Diego Sanchez,BJ Penn
Cheick Kongo,Frank Mir
Mike Pierce,Jon Fitch
Clay Guida,Kenny Florian
Paul Buentello,Stefan Struve
Wilson Gouveia,Alan Belcher
Shane Nelson,Matt Wiman
Ricardo Funch,Johny Hendricks
Lucio Linhares,Rousimar Palhares
Edgar Garcia,DaMarques Johnson
Kevin Burns,TJ Grant
Thiago Silva,Rashad Evans
Dustin Hazelett,Paul Daley
Joe Lauzon,Sam Stout
Duane Ludwig,Jim Miller
Gilbert Yvel,Junior Dos Santos
Jacob Volkmann,Martin Kampmann
Dan Lauzon,Cole Miller
Ryan Jensen,Mark Munoz
Mike Pyle,Jake Ellenberger
John Gunderson,Rafaello Oliveira
Nate Diaz,Gray Maynard
Efrain Escudero,Evan Dunham
Tom Lawlor,Aaron Simpson
Brad Blackburn,Amir Sadollah
Jay Silva,Chris Leben
Nik Lentz,Thiago Tavares
Mike Guymon,Rory MacDonald
Kyle Bradley,Rafael Dos Anjos
John Salter,Gerald Harris
Jesse Forbes,Nick Catone
Jesse Lennox,Rick Story
Mark Coleman,Randy Couture
Nate Marquardt,Chael Sonnen
Mike Swick,Paulo Thiago
Dan Miller,Demian Maia
Frank Trigg,Matt Serra
Justin Buchholz,Mac Danzig
Phillipe Nover,Rob Emerson
Brian Stann,Phil Davis
Tim Hague,Chris Tuchscherer
Ronys Torres,Melvin Guillard
Rolles Gracie,Joey Beltran
Keith Jardine,Ryan Bader
Antonio Rodrigo Nogueira,Cain Velasquez
Michael Bisping,Wanderlei Silva
Joe Stevenson,George Sotiropoulos
Anthony Perosh,Mirko Filipovic
Brian Foster,Chris Lytle
Goran Reljic,CB Dollaway
Igor Pokrajac,James Te Huna
Stephan Bonnar,Krzysztof Soszynski
Brandon Vera,Jon Jones
Gabriel Gonzaga,Junior Dos Santos
Paul Buentello,Cheick Kongo
James Irvin,Alessio Sakara
Shannon Gugerty,Clay Guida
Duane Ludwig,Darren Elkins
Daniel Roberts,John Howard
Chase Gormley,Brendan Schaub
Julio Paulino,Mike Pierce
Eric Schafer,Jason Brilz
Eliot Marshall,Vladimir Matyushenko
Fabricio Camoes,Kurt Pellegrino
Dan Hardy,Georges St-Pierre
Frank Mir,Shane Carwin
Ben Saunders,Jon Fitch
Greg Soto,Matthew Riddle
Rory Markham,Nate Diaz
Matt Brown,Ricardo Almeida
Tomasz Drwal,Rousimar Palhares
Rodney Wallace,Jared Hamman
Mark Bocek,Jim Miller
Dennis Siver,Ross Pearson
Takanori Gomi,Kenny Florian
Stefan Struve,Roy Nelson
Nate Quarry,Jorge Rivera
Rafaello Oliveira,Andre Winner
Jason High,Charlie Brenneman
Rob Emerson,Nik Lentz
Caol Uno,Gleison Tibau
Lucio Linhares,Yushin Okami
Mario Miranda,Gerald Harris
Ronys Torres,Jacob Volkmann
Demian Maia,Anderson Silva
BJ Penn,Frankie Edgar
Renzo Gracie,Matt Hughes
Terry Etim,Rafael Dos Anjos
Kendall Grove,Mark Munoz
Nick Osipczak,Rick Story
Brad Blackburn,DaMarques Johnson
Matt Veach,Paul Kelly
Mostapha Al-Turk,Jon Madsen
Alexander Gustafsson,Phil Davis
Kevin Ferguson,Matt Mitrione
Paul Daley,Josh Koscheck
Sam Stout,Jeremy Stephens
Patrick Cote,Alan Belcher
Lyoto Machida,Mauricio Rua
Jonathan Goulet,Marcus Davis
TJ Grant,Johny Hendricks
Tim Hague,Joey Beltran
Yoshiyuki Yoshida,Mike Guymon
Jason MacDonald,John Salter
Tom Lawlor,Joe Doerksen
Dan Miller,Michael Bisping
Todd Duffee,Mike Russow
Jason Brilz,Rogerio Nogueira
Diego Sanchez,John Hathaway
Quinton Jackson,Rashad Evans
Dan Lauzon,Efrain Escudero
Waylon Lowe,Melvin Guillard
Luiz Cane,Cyrille Diabate
Joe Brammer,Aaron Riley
Jesse Forbes,Ryan Jensen
Amir Sadollah,Dong Hyun Kim
Chuck Liddell,Rich Franklin
Pat Barry,Mirko Filipovic
Paulo Thiago,Martin Kampmann
Gilbert Yvel,Ben Rothwell
Rory MacDonald,Carlos Condit
Tyson Griffin,Evan Dunham
David Loiseau,Mario Miranda
Peter Sobotta,James Wilks
Ricardo Funch,Claude Patrick
Jesse Lennox,Mike Pyle
Mac Danzig,Matt Wiman
Kris McCray,Court McGee
Keith Jardine,Matt Hamill
Aaron Simpson,Chris Leben
Spencer Fisher,Dennis Siver
Josh Bryant,Kyle Noke
Mark Holst,John Gunderson
Seth Baczynski,Brad Tavares
James Hammortree,Chris Camozzi
James McSweeney,Travis Browne
Jamie Yager,Rich Attonito
Shane Carwin,Brock Lesnar
Matt Brown,Chris Lytle
Krzysztof Soszynski,Stephan Bonnar
Kurt Pellegrino,George Sotiropoulos
Yoshihiro Akiyama,Chris Leben
Seth Petruzelli,Ricardo Romero
Goran Reljic,Kendall Grove
David Branch,Gerald Harris
Forrest Petz,Daniel Roberts
Karlos Vemola,Jon Madsen
Chris Tuchscherer,Brendan Schaub
Vladimir Matyushenko,Jon Jones
Mark Munoz,Yushin Okami
John Howard,Jake Ellenberger
Tyson Griffin,Takanori Gomi
James Irvin,Igor Pokrajac
DaMarques Johnson,Matthew Riddle
Mike Massenzio,Brian Stann
Darren Elkins,Charles Oliveira
Steve Steinbeiss,Rob Kimmons
Paul Kelly,Jacob Volkmann
Rafael Dos Anjos,Clay Guida
Ricardo Almeida,Matt Hughes
Chael Sonnen,Anderson Silva
Thiago Alves,Jon Fitch
Roy Nelson,Junior Dos Santos
Todd Brown,Tim Boetsch
Rodney Wallace,Phil Davis
Charlie Brenneman,Johny Hendricks
Christian Morecraft,Stefan Struve
Ben Saunders,Dennis Hallman
Dustin Hazelett,Rick Story
BJ Penn,Frankie Edgar
James Toney,Randy Couture
Mario Miranda,Demian Maia
Kenny Florian,Gray Maynard
Marcus Davis,Nate Diaz
Gabe Ruediger,Joe Lauzon
Andre Winner,Nik Lentz
John Salter,Dan Miller
Nick Osipczak,Greg Soto
Amilcar Alves,Mike Pierce
Rousimar Palhares,Nate Marquardt
Efrain Escudero,Charles Oliveira
Gleison Tibau,Jim Miller
Ross Pearson,Cole Miller
Forrest Petz,Brian Foster
Jared Hamman,Kyle Kingsbury
Tomasz Drwal,David Branch
Rafael Natal,Rich Attonito
David Mitchell,TJ Waldburger
John Gunderson,Yves Edwards
Matt Serra,Chris Lytle
Mirko Filipovic,Frank Mir
Rogerio Nogueira,Ryan Bader
Evan Dunham,Sean Sherk
Jeremy Stephens,Melvin Guillard
Joey Beltran,Matt Mitrione
Pat Audinwood,Thiago Tavares
Steve Lopez,Waylon Lowe
Julio Paulino,TJ Grant
Joe Doerksen,CB Dollaway
Mark Hunt,Sean McCorkle
Dan Hardy,Carlos Condit
Yoshihiro Akiyama,Michael Bisping
John Hathaway,Mike Pyle
James Wilks,Claude Patrick
Cyrille Diabate,Alexander Gustafsson
Vinicius Queiroz,Rob Broughton
Mark Holst,Paul Sass
Curt Warburton,Spencer Fisher
James McSweeney,Fabio Maldonado
Travis Browne,Cheick Kongo
Brock Lesnar,Cain Velasquez
Martin Kampmann,Jake Shields
Paulo Thiago,Diego Sanchez
Tito Ortiz,Matt Hamill
Gabriel Gonzaga,Brendan Schaub
Gilbert Yvel,Jon Madsen
Patrick Cote,Tom Lawlor
Mike Guymon,Daniel Roberts
Paul Taylor,Sam Stout
Dongi Yang,Chris Camozzi
Ryan Jensen,Court McGee
Andre Winner,Dennis Siver
Peter Sobotta,Amir Sadollah
Nate Marquardt,Yushin Okami
Goran Reljic,Krzysztof Soszynski
Seth Petruzelli,Karlos Vemola
Alexandre Ferreira,Vladimir Matyushenko
Mark Scanlon,Pascal Krauss
Rob Kimmons,Kyle Noke
Kris McCray,Carlos Eduardo Rocha
Nick Osipczak,Duane Ludwig
Lyoto Machida,Quinton Jackson
Matt Hughes,BJ Penn
Gerald Harris,Maiquel Falcao
Tim Boetsch,Phil Davis
Joe Lauzon,George Sotiropoulos
Aaron Simpson,Mark Munoz
Karo Parisyan,Dennis Hallman
Mike Lullo,Edson Barboza
TJ O'Brien,Paul Kelly
Tyson Griffin,Nik Lentz
Matt Brown,Brian Foster
Johny Hendricks,Rick Story
Michael Johnson,Jonathan Brookins
Igor Pokrajac,Stephan Bonnar
Kendall Grove,Demian Maia
Nam Phan,Leonard Garcia
Rich Attonito,David Branch
Tyler Toner,Ian Loveland
Sako Chivitchian,Kyle Watson
Will Campuzano,Nick Pace
Fredson Paixao,Pablo Garza
Aaron Wilkinson,Cody McKenzie
Joe Stevenson,Mac Danzig
Josh Koscheck,Georges St-Pierre
Sean McCorkle,Stefan Struve
Charles Oliveira,Jim Miller
John Howard,Thiago Alves
Rafael Natal,Jesse Bongfeldt
Dustin Hazelett,Mark Bocek
Matthew Riddle,Sean Pierson
TJ Grant,Ricardo Almeida
Pat Audinwood,John Makdessi
Joe Doerksen,Dan Miller
Chris Leben,Brian Stann
Nate Diaz,Dong Hyun Kim
Takanori Gomi,Clay Guida
Marcus Davis,Jeremy Stephens
Josh Grispi,Dustin Poirier
Mike Brown,Diego Nunes
Greg Soto,Daniel Roberts
Antonio McKee,Jacob Volkmann
Gray Maynard,Frankie Edgar
Phil Baroni,Brad Tavares
Joey Beltran,Pat Barry
Evan Dunham,Melvin Guillard
Tim Hague,Matt Mitrione
George Roop,Mark Hominick
Cole Miller,Matt Wiman
Mike Guymon,DaMarques Johnson
Will Campuzano,Chris Cariaso
Amilcar Alves,Charlie Brenneman
Cody McKenzie,Yves Edwards
Mike Brown,Rani Yahya
Willamy Freire,Waylon Lowe
Vitor Belfort,Anderson Silva
Rich Franklin,Forrest Griffin
Ryan Bader,Jon Jones
Antonio Banuelos,Miguel Torres
Carlos Eduardo Rocha,Jake Ellenberger
Michihiro Omigawa,Chad Mendes
Norifumi Yamamoto,Demetrious Johnson
Gabe Ruediger,Paul Taylor
Ricardo Romero,Kyle Kingsbury
Kenny Robertson,Mike Pierce
Paul Kelly,Donald Cerrone
Chris Camozzi,Kyle Noke
Jorge Rivera,Michael Bisping
George Sotiropoulos,Dennis Siver
Chris Lytle,Brian Ebersole
Spencer Fisher,Ross Pearson
Chris Tuchscherer,Mark Hunt
Riki Fukuda,Nick Ring
Tom Blackledge,Anthony Perosh
Jason Reinhardt,Zhang Tiequan
Maciej Jewtuszko,Curt Warburton
Jon Fitch,BJ Penn
James Te Huna,Alexander Gustafsson
Damacio Page,Brian Bowles
Martin Kampmann,Diego Sanchez
CB Dollaway,Mark Munoz
Alessio Sakara,Chris Weidman
Steve Cantwell,Cyrille Diabate
Rob Kimmons,Dongi Yang
Thiago Tavares,Shane Roller
Joe Stevenson,Danny Castillo
Todd Brown,Igor Pokrajac
David Branch,Rousimar Palhares
Reuben Duran,Takeya Mizugaki
Dan Miller,Nate Marquardt
Mauricio Rua,Jon Jones
Eddie Wineland,Urijah Faber
Kamal Shalorus,Jim Miller
Mirko Filipovic,Brendan Schaub
Eliot Marshall,Luiz Cane
Ricardo Almeida,Mike Pyle
Kurt Pellegrino,Gleison Tibau
Ian Loveland,Joseph Benavidez
Constantinos Philippou,Nick Catone
Raphael Assuncao,Erik Koch
Anthony Njokuani,Edson Barboza
Rogerio Nogueira,Phil Davis
Dan Hardy,Anthony Johnson
DaMarques Johnson,Amir Sadollah
Leonard Garcia,Chan Sung Jung
Jon Madsen,Mike Russow
Kris McCray,John Hathaway
Edwin Figueroa,Michael McDonald
Sean McCorkle,Christian Morecraft
TJ Waldburger,Johny Hendricks
Mario Miranda,Aaron Simpson
Waylon Lowe,Nik Lentz
Alex Caceres,Mackens Semerzier
Jake Shields,Georges St-Pierre
Mark Hominick,Jose Aldo
Randy Couture,Lyoto Machida
Jason Brilz,Vladimir Matyushenko
Mark Bocek,Benson Henderson
Sean Pierson,Jake Ellenberger
Daniel Roberts,Claude Patrick
Charlie Valencia,Ivan Menjivar
Ryan Jensen,Jason MacDonald
Kyle Watson,John Makdessi
Yves Jabouin,Pablo Garza
Nate Diaz,Rory MacDonald
Thiago Alves,Rick Story
Matt Hamill,Quinton Jackson
Stefan Struve,Travis Browne
Jorge Santiago,Brian Stann
Roy Nelson,Frank Mir
Kendall Grove,Tim Boetsch
Rafaello Oliveira,Gleison Tibau
Chris Cariaso,Michael McDonald
Cole Escovedo,Renan Barao
Miguel Torres,Demetrious Johnson
Anthony Pettis,Clay Guida
Tim Credeur,Ed Herman
Fabio Maldonado,Kyle Kingsbury
Chuck O'Neil,Chris Cope
Ramsey Nijem,Tony Ferguson
Josh Grispi,George Roop
Ryan McGillivray,Shamar Bailey
Justin Edwards,Clay Harvison
Ken Stone,Scott Jorgensen
Francisco Rivera,Reuben Duran
Danny Downes,Jeremy Stephens
Shane Carwin,Junior Dos Santos
Diego Nunes,Kenny Florian
Demian Maia,Mark Munoz
Jon Olav Einemo,Dave Herman
Vagner Rocha,Donald Cerrone
Mike Massenzio,Krzysztof Soszynski
Jesse Bongfeldt,Chris Weidman
James Head,Nick Ring
Jason Young,Dustin Poirier
Aaron Rosa,Joey Beltran
Michihiro Omigawa,Darren Elkins
Yves Edwards,Sam Stout
John Howard,Matt Brown
Christian Morecraft,Matt Mitrione
Pat Barry,Cheick Kongo
Manvel Gamburyan,Tyson Griffin
Rick Story,Charlie Brenneman
Curt Warburton,Joe Lauzon
Daniel Roberts,Rich Attonito
Matt Grice,Ricardo Lamas
Edward Faaloloto,Michael Johnson
Joe Stevenson,Javier Vazquez
Urijah Faber,Dominick Cruz
Wanderlei Silva,Chris Leben
Matt Wiman,Dennis Siver
Ryan Bader,Tito Ortiz
Dong Hyun Kim,Carlos Condit
George Sotiropoulos,Rafael Dos Anjos
Takeya Mizugaki,Brian Bowles
Brad Tavares,Aaron Simpson
Andre Winner,Anthony Njokuani
Donny Walker,Jeff Hougland
Shane Roller,Melvin Guillard
Jorge Rivera,Constantinos Philippou
Tito Ortiz,Rashad Evans
Yoshihiro Akiyama,Vitor Belfort
Dennis Hallman,Brian Ebersole
Mike Pyle,Rory MacDonald
Paul Bradley,Rafael Natal
Rani Yahya,Chad Mendes
Nick Pace,Ivan Menjivar
Mike Pierce,Johny Hendricks
Nam Phan,Mike Brown
Matt Hamill,Alexander Gustafsson
Amir Sadollah,Duane Ludwig
Dan Hardy,Chris Lytle
Jim Miller,Benson Henderson
Charles Oliveira,Donald Cerrone
CB Dollaway,Jared Hamman
Danny Castillo,Jacob Volkmann
Kyle Noke,Ed Herman
Karlos Vemola,Ronny Markes
Alex Caceres,Jimy Hettes
TJ O'Brien,Cole Miller
Jason Reinhardt,Edwin Figueroa
Eddie Wineland,Joseph Benavidez
Yushin Okami,Anderson Silva
Forrest Griffin,Mauricio Rua
Ross Pearson,Edson Barboza
Brendan Schaub,Antonio Rodrigo Nogueira
Luiz Cane,Stanislav Nedkov
Spencer Fisher,Thiago Tavares
David Mitchell,Paulo Thiago
Johnny Eduardo,Raphael Assuncao
Luis Ramos,Erick Silva
Felipe Arantes,Iuri Alcantara
Ian Loveland,Yves Jabouin
Dan Miller,Rousimar Palhares
Cody McKenzie,Vagner Rocha
Jake Shields,Jake Ellenberger
Dongi Yang,Court McGee
Jason MacDonald,Alan Belcher
Shamar Bailey,Evan Dunham
Jonathan Brookins,Erik Koch
Donny Walker,Ken Stone
Mike Lullo,Robert Peralta
Mike Stumpf,TJ Waldburger
Matthew Riddle,Lance Benoist
Clay Harvison,Seth Baczynski
Jorge Lopez,Justin Edwards
Ricardo Romero,James Te Huna
Cole Escovedo,Takeya Mizugaki
Eddie Yagin,Junior Assuncao
Nick Ring,Tim Boetsch
Aaron Riley,Tony Ferguson
Takanori Gomi,Nate Diaz
Rob Broughton,Travis Browne
Ben Rothwell,Mark Hunt
Matt Hughes,Josh Koscheck
Quinton Jackson,Jon Jones
Demetrious Johnson,Dominick Cruz
Pat Barry,Stefan Struve
Charlie Brenneman,Anthony Johnson
Mac Danzig,Matt Wiman
Shane Roller,TJ Grant
Michael Johnson,Paul Sass
Byron Bloodworth,Mike Easton
Keith Wisniewski,Josh Neer
Rafaello Oliveira,Yves Edwards
Joseph Sandoval,Walel Watson
Melvin Guillard,Joe Lauzon
Gray Maynard,Frankie Edgar
